categorie,ca_ttc,ca_ht,annee,mois,mois_nom,date_id,hotel_id,hotel
HEBERGEMENT,1025440.167,948851.453,2024,2,Fevrier,202402,2,BEL
RESTAURATION,9841.492,9106.591,2024,2,Fevrier,202402,2,BEL
BAR,15061.5,13936.8,2024,2,Fevrier,202402,2,BEL
DIVERS,2632.98,2436.365,2024,2,Fevrier,202402,2,BEL
HEBERGEMENT,775846.98,717911.52,2024,3,Mars,202403,2,BEL
RESTAURATION,16237.5,15024.983,2024,3,Mars,202403,2,BEL
BAR,11240.5,10401.13,2024,3,Mars,202403,2,BEL
DIVERS,3232.551,2991.165,2024,3,Mars,202403,2,BEL
HEBERGEMENT,1890835.414,1749639.506,2024,4,Avril,202404,2,BEL
RESTAURATION,5903.0,5462.2,2024,4,Avril,202404,2,BEL
BAR,26560.83,24577.431,2024,4,Avril,202404,2,BEL
DIVERS,5041.02,4664.589,2024,4,Avril,202404,2,BEL
HEBERGEMENT,2653350.036,2455214.247,2024,5,Mai,202405,2,BEL
RESTAURATION,5475.0,5066.161,2024,5,Mai,202405,2,BEL
BAR,34936.5,32327.658,2024,5,Mai,202405,2,BEL
DIVERS,11865.002,10978.997,2024,5,Mai,202405,2,BEL
HEBERGEMENT,2776889.781,2569528.807,2024,6,Juin,202406,2,BEL
RESTAURATION,25594.0,23682.798,2024,6,Juin,202406,2,BEL
BAR,30095.0,27847.691,2024,6,Juin,202406,2,BEL
DIVERS,7590.4,7023.597,2024,6,Juin,202406,2,BEL
HEBERGEMENT,4768119.627,4412065.909,2024,7,Juillet,202407,2,BEL
RESTAURATION,74374.0,68820.209,2024,7,Juillet,202407,2,BEL
BAR,35544.0,32889.792,2024,7,Juillet,202407,2,BEL
DIVERS,4723.73,4370.991,2024,7,Juillet,202407,2,BEL
HEBERGEMENT,5160333.125,4774991.324,2024,8,Aout,202408,2,BEL
RESTAURATION,80451.0,74443.416,2024,8,Aout,202408,2,BEL
BAR,33227.0,30745.813,2024,8,Aout,202408,2,BEL
DIVERS,4726.46,4373.517,2024,8,Aout,202408,2,BEL
HEBERGEMENT,2965716.488,2744255.101,2024,9,Septembre,202409,2,BEL
RESTAURATION,20347.0,18827.611,2024,9,Septembre,202409,2,BEL
BAR,25554.0,23645.786,2024,9,Septembre,202409,2,BEL
DIVERS,1060.0,980.845,2024,9,Septembre,202409,2,BEL
HEBERGEMENT,2806201.08,2596651.319,2024,10,Octobre,202410,2,BEL
RESTAURATION,12271.5,11355.141,2024,10,Octobre,202410,2,BEL
BAR,29590.5,27380.864,2024,10,Octobre,202410,2,BEL
DIVERS,7446.07,6890.043,2024,10,Octobre,202410,2,BEL
HEBERGEMENT,1513302.124,1400298.071,2024,11,Novembre,202411,2,BEL
RESTAURATION,18252.0,16889.053,2024,11,Novembre,202411,2,BEL
BAR,21255.0,19667.808,2024,11,Novembre,202411,2,BEL
DIVERS,5592.52,5174.905,2024,11,Novembre,202411,2,BEL
HEBERGEMENT,1354309.887,1253178.389,2024,12,Decembre,202412,2,BEL
RESTAURATION,161862.197,149775.327,2024,12,Decembre,202412,2,BEL
BAR,22913.5,21202.461,2024,12,Decembre,202412,2,BEL
DIVERS,4642.72,4296.03,2024,12,Decembre,202412,2,BEL
HEBERGEMENT,1081106.698,1000642.078,2025,1,Janvier,202501,2,BEL
RESTAURATION,15050.938,13927.026,2025,1,Janvier,202501,2,BEL
BAR,20638.5,19097.343,2025,1,Janvier,202501,2,BEL
DIVERS,2257.05,2088.508,2025,1,Janvier,202501,2,BEL
HEBERGEMENT,1150172.06,1064284.316,2025,2,Fevrier,202502,2,BEL
RESTAURATION,36186.688,33484.49,2025,2,Fevrier,202502,2,BEL
BAR,14483.0,13401.499,2025,2,Fevrier,202502,2,BEL
DIVERS,3315.74,3068.142,2025,2,Fevrier,202502,2,BEL
HEBERGEMENT,898689.702,831581.107,2025,3,Mars,202503,2,BEL
RESTAURATION,8945.0,8277.043,2025,3,Mars,202503,2,BEL
BAR,15580.5,14417.044,2025,3,Mars,202503,2,BEL
DIVERS,1298.9,1201.906,2025,3,Mars,202503,2,BEL
HEBERGEMENT,2343779.209,2168760.257,2025,4,Avril,202504,2,BEL
RESTAURATION,12270.0,11353.751,2025,4,Avril,202504,2,BEL
BAR,34203.0,31648.932,2025,4,Avril,202504,2,BEL
DIVERS,4763.38,4407.68,2025,4,Avril,202504,2,BEL
HEBERGEMENT,2777032.361,2569660.739,2025,5,Mai,202505,2,BEL
RESTAURATION,7005.0,6481.91,2025,5,Mai,202505,2,BEL
BAR,30837.5,28534.746,2025,5,Mai,202505,2,BEL
DIVERS,2270.36,2100.824,2025,5,Mai,202505,2,BEL
